ticker,volume,open,close,high,low,window_start,transactions
O:ACHR250328C00009000,96,2.05,1.7,2.05,1.49,1739250000000000000,20
O:ACHR250328C00009500,407,1.5,1.51,1.77,1.25,1739250000000000000,68
O:ACHR250328C00010000,268,1.64,1.35,1.64,1.16,1739250000000000000,43
O:ACHR250328C00010500,40,1.13,1.16,1.42,1,1739250000000000000,16
O:ACHR250328C00011000,24,0.95,1.09,1.2,0.95,1739250000000000000,7
O:ACHR250328C00011500,24,0.76,0.94,1.08,0.76,1739250000000000000,14
O:ACHR250328C00012000,61,0.62,0.85,1,0.62,1739250000000000000,9
O:ACHR250328C00012500,19,0.75,0.79,1.04,0.75,1739250000000000000,6
O:ACHR250328C00013500,6,0.5,0.65,0.65,0.26,1739250000000000000,3
O:ACHR250328C00014000,20,0.65,0.65,0.65,0.65,1739250000000000000,1
O:ACHR250328C00015000,8,0.5,0.5,0.5,0.46,1739250000000000000,7
O:ACHR250328C00016000,62,0.34,0.4,0.4,0.34,1739250000000000000,3
O:ACHR250328P00006500,1,0.24,0.24,0.24,0.24,1739250000000000000,1
O:ACHR250328P00007000,112,0.4,0.42,0.45,0.4,1739250000000000000,4
O:ACHR250328P00007500,12,0.35,0.59,0.59,0.35,1739250000000000000,3
O:ACHR250328P00008000,11,0.49,0.64,0.68,0.49,1739250000000000000,6
O:ACHR250328P00008500,16,0.93,0.92,0.93,0.9,1739250000000000000,3
O:ACHR250328P00009000,20,1.12,1.28,1.28,1,1739250000000000000,9
O:ACHR250328P00009500,202,1.31,1.55,1.55,1.31,1739250000000000000,17
O:ACHR250328P00010000,32,1.63,1.97,1.97,1.63,1739250000000000000,5
O:ACHR250417C00002000,4,7.45,7.8,7.8,7.45,1739250000000000000,2
O:ACHR250417C00003000,1,6.55,6.55,6.55,6.55,1739250000000000000,1
O:ACHR250417C00004000,9,5.75,5.55,5.75,5.5,1739250000000000000,8
O:ACHR250417C00005000,36,4.5,4.65,4.8,4.5,1739250000000000000,10
O:ACHR250417C00006000,47,4.35,3.8,4.35,3.52,1739250000000000000,22
O:ACHR250417C00007000,35,2.88,2.95,3.23,2.88,1739250000000000000,17
O:ACHR250417C00008000,340,2.51,2.34,2.74,2.15,1739250000000000000,56
O:ACHR250417C00009000,755,1.92,1.9,2.22,1.66,1739250000000000000,147
